date,total_enrol,total_demo_updates,total_bio_updates,enrol_anomaly
2025-03-01,0.0,11147558.0,8322222.0,False
2025-03-02,109.0,0.0,0.0,False
2025-03-09,3404.0,0.0,0.0,False
2025-03-15,3102.0,0.0,0.0,False
2025-03-20,6218.0,0.0,0.0,False
2025-03-23,576.0,0.0,0.0,False
2025-03-26,211.0,0.0,0.0,False
2025-03-27,2704.0,0.0,0.0,False
2025-03-28,191.0,0.0,0.0,False
2025-03-29,67.0,0.0,0.0,False
2025-04-01,257438.0,1515672.0,8641679.0,False
2025-05-01,183616.0,1566287.0,7879956.0,False
2025-06-01,215734.0,1685562.0,7899289.0,False
2025-07-01,616868.0,2220715.0,9792552.0,False
2025-09-01,74989.0,434325.0,336459.0,False
2025-09-02,76496.0,435282.0,317705.0,False
2025-09-03,71988.0,314732.0,313613.0,False
2025-09-04,65349.0,383726.0,301023.0,False
2025-09-05,26069.0,273954.0,95781.0,False
2025-09-06,58957.0,368240.0,254489.0,False
2025-09-07,14658.0,89031.0,32956.0,False
2025-09-08,83353.0,535632.0,415718.0,False
2025-09-09,88508.0,508624.0,413147.0,False
2025-09-10,84300.0,483163.0,388147.0,False
2025-09-11,73206.0,377653.0,412601.0,False
2025-09-12,78860.0,438856.0,432655.0,False
2025-09-13,56229.0,318637.0,307086.0,False
2025-09-14,14990.0,94967.0,51409.0,False
2025-09-15,53240.0,405790.0,453198.0,False
2025-09-16,63846.0,372527.0,461068.0,False
2025-09-17,57409.0,348156.0,398555.0,False
2025-09-18,60598.0,435090.0,451849.0,False
2025-09-19,57357.0,362761.0,428045.0,False
2025-09-20,49377.0,342914.0,389424.0,False
2025-09-21,4400.0,0.0,0.0,False
2025-09-22,40321.0,0.0,0.0,False
2025-09-23,48943.0,0.0,0.0,False
2025-09-24,56573.0,0.0,0.0,False
2025-09-25,53324.0,0.0,0.0,False
2025-09-26,37653.0,0.0,0.0,False
2025-09-27,13592.0,0.0,0.0,False
2025-09-28,2454.0,0.0,0.0,False
2025-09-29,6896.0,0.0,0.0,False
2025-09-30,1944.0,0.0,0.0,False
2025-10-13,74831.0,204808.0,3378.0,False
2025-10-15,58895.0,462577.0,295766.0,False
2025-10-16,36980.0,493841.0,274860.0,False
2025-10-17,115876.0,323151.0,333052.0,False
2025-10-18,56021.0,173228.0,356701.0,False
2025-10-19,58972.0,233340.0,345416.0,False
2025-10-20,15405.0,112017.0,37356.0,False
2025-10-21,7643.0,57390.0,33407.0,False
2025-10-22,233.0,10448.0,1681.0,False
2025-10-23,1146.0,25159.0,9751.0,False
2025-10-24,36207.0,427481.0,269174.0,False
2025-10-25,49996.0,391813.0,400266.0,False
2025-10-26,28683.0,416260.0,456885.0,False
2025-10-27,26195.0,181364.0,369284.0,False
2025-10-28,33808.0,229427.0,210487.0,False
2025-10-29,28931.0,346481.0,319070.0,False
2025-10-30,116722.0,292866.0,420945.0,False
2025-10-31,71376.0,629315.0,445176.0,False
2025-11-01,17849.0,473800.0,434504.0,False
2025-11-02,100071.0,189478.0,405827.0,False
2025-11-03,31532.0,481800.0,432827.0,False
2025-11-04,1007.0,529318.0,288485.0,False
2025-11-05,75593.0,259691.0,356460.0,False
2025-11-06,43585.0,592379.0,418932.0,False
2025-11-07,42330.0,467135.0,370870.0,False
2025-11-08,52391.0,479859.0,358113.0,False
2025-11-09,48219.0,147786.0,231988.0,False
2025-11-10,66985.0,496555.0,366997.0,False
2025-11-11,44033.0,358443.0,414770.0,False
2025-11-12,40496.0,543863.0,412698.0,False
2025-11-13,33046.0,341438.0,367571.0,False
2025-11-14,46265.0,468301.0,265644.0,False
2025-11-15,120091.0,432978.0,265589.0,False
2025-11-16,53956.0,110125.0,292454.0,False
2025-11-17,30693.0,367005.0,315875.0,False
2025-11-18,70427.0,438524.0,413123.0,False
2025-11-19,115032.0,437935.0,296002.0,False
2025-11-25,58406.0,109532.0,576777.0,False
2025-11-26,0.0,292015.0,0.0,False
2025-11-27,0.0,678684.0,0.0,False
2025-11-28,0.0,446681.0,0.0,False
2025-11-29,0.0,244276.0,0.0,False
2025-12-01,0.0,286586.0,457695.0,False
2025-12-02,0.0,469499.0,536478.0,False
2025-12-03,0.0,450303.0,393750.0,False
2025-12-04,0.0,477502.0,449873.0,False
2025-12-05,0.0,303531.0,365675.0,False
2025-12-06,0.0,271098.0,360619.0,False
2025-12-07,0.0,210119.0,233774.0,False
2025-12-08,0.0,590988.0,338584.0,False
2025-12-09,0.0,310538.0,462423.0,False
2025-12-10,0.0,308007.0,359642.0,False
2025-12-11,0.0,465340.0,424972.0,False
2025-12-12,0.0,529129.0,420345.0,False
2025-12-13,0.0,275083.0,419618.0,False
2025-12-14,0.0,220019.0,90639.0,False
2025-12-15,139048.0,346058.0,275713.0,False
2025-12-16,0.0,462057.0,501148.0,False
2025-12-18,0.0,41401.0,62110.0,False
2025-12-19,0.0,366973.0,473715.0,False
2025-12-20,0.0,252671.0,196960.0,False
2025-12-21,29602.0,181831.0,0.0,False
2025-12-22,109337.0,263214.0,39.0,False
2025-12-23,47327.0,488460.0,289.0,False
2025-12-24,48459.0,242245.0,0.0,False
2025-12-25,48635.0,253401.0,547398.0,False
2025-12-26,52401.0,433763.0,450594.0,False
2025-12-27,53031.0,445937.0,430370.0,False
2025-12-28,45690.0,214513.0,151474.0,False
2025-12-29,60692.0,276500.0,300411.0,False
2025-12-31,125436.0,0.0,0.0,False
